nome,lat,long
"Parque de Merendas do Casal de S,Tomé - Mira","40,42143564","-8,751082421"
Praia do Palheirão - Cantanhede,"40,39357761","-8,82584095"
Praia dos Almadoiros - Figueira da Foz,"40,3627161","-8,834767342"
Campo de Tiro de Quiaios - Figueira da Foz,"40,23269113","-8,84557128"
Cascata de Quiaios - Figueira da Foz,"40,21132644","-8,863681555"
Miradouro da Bandeira - Figueira da Foz,"40,20424708","-8,879587054"
Praia da Murtinheira - Figueira da Foz,"40,20917363","-8,894108534"
Praia de Quiaios - Figueira da Foz,"40,21706968","-8,893993199"
Piscina Municipal de Alhadas - Coimbra,"40,19102047","-8,78968209"
Montes de Santa Olaia E Ferrestelo - Figueira da Foz,"40,17144625","-8,720674217"
Praia Fluvial da Ereira - Montemor-o-Velho,"40,14968912","-8,712525666"
Termas da Amieira - Figueira da Foz,"40,09591213","-8,74714762"
Parque de Campismo Orbitur Gala - Póvoa de Varzim,"40,11891305","-8,857002854"
Parque de Merendas da Cova Gala - Figueira da Foz,"40,124619","-8,858059645"
Praia Da Cova Gala - Coimbra,"40,12917193","-8,863756657"
Praia do Hospital - Coimbra,"40,13105863","-8,863284588"
Praia do Cabedelo - Figueira da Foz,"40,14020228","-8,862714618"
Farol da Figueira da Foz Molhe Sul - Figueira da Foz,"40,14347987","-8,87330398"
Praia da Figueira da Foz - Figueira da Foz,"40,14988902","-8,8721627"
Praia do Forte de Santa Catarina - Figueira da Foz,"40,14713353","-8,867291808"
Torre do Relógio - Figueira da Foz,"40,15042001","-8,866830468"
Parque das Gaivotas - Figueira da Foz,"40,14892543","-8,867793381"
Jardim Municipal da Figueira da Foz - Figueira da Foz,"40,1496963","-8,860776722"
Casino Figueira - Figueira da Foz,"40,15050612","-8,863841146"
Museu Municipal Santos Rocha - Figueira da Foz,"40,15283505","-8,860815614"
Casa do Paço - Figueira da Foz,"40,14907919","-8,859571069"
Pelourinho da Figueira da Foz - Figueira da Foz,"40,14999768","-8,85809049"
Fonte Luminosa - Figueira da Foz,"40,14861995","-8,855515569"
Pelourinho de Buarcos - Figueira da Foz,"40,15243323","-8,85770157"
Centro de Artes e Espectáculos - Figueira da Foz,"40,15346648","-8,860383779"
Praia da Claridade - Figueira da Foz,"40,15638776","-8,870911449"
Parque Municipal de Campismo da Figueira da Foz - Figueira da Foz,"40,16643821","-8,856865074"
Pump Track - Figueira da Foz,"40,16841494","-8,856372535"
Quinta da Borloteira - Figueira da Foz,"40,16902162","-8,855492771"
Paço de Tavarede - Figueira da Foz,"40,16519902","-8,847274482"
Estátua do Cavador - Figueira da Foz,"40,163756","-8,848025501"
Bowling 3 Chaminés - Figueira da Foz,"40,15481848","-8,829807937"
Domén de Carniçosas - Figueira da Foz,"40,18722164","-8,806445897"
